question_type,scene_number,seed,question,answer,object_id,container_id
2,6,780494562,Is there a mug in the fridge?,True,13,19
2,6,904604019,I think there is a mug in the fridge. Is that correct?,False,13,19
2,6,590259073,Can you find a fork in a cabinet?,True,3,20
2,6,639769206,Is there a fork in a cabinet?,False,3,20
2,6,307678709,I think there is a loaf of bread in the fridge. Is that correct?,True,12,19
2,6,831187247,Please tell me if there is a loaf of bread in the fridge?,False,12,19
2,6,227493327,Please tell me if there is a mug in the fridge?,True,13,19
2,6,423580494,I think there is a mug in the fridge. Is that correct?,False,13,19
2,6,281339707,Please tell me if there is a mug in the fridge?,True,13,19
2,6,79803138,I think there is a mug in the fridge. Is that correct?,False,13,19
2,6,776808426,I think there is a mug in the fridge. Is that correct?,True,13,19
2,6,429954415,I think there is a mug in the fridge. Is that correct?,False,13,19
2,6,700491218,Please tell me if there is a spoon in a cabinet?,False,1,20
2,6,874756879,I think there is a spoon in a cabinet. Is that correct?,True,1,20
2,6,196687212,Is there a tomato in the fridge?,True,6,19
2,6,25403604,Is there a tomato in the fridge?,False,6,19
2,7,603184927,I think there is an egg in the microwave. Is that correct?,True,5,18
2,7,501947383,Please tell me if there is an egg in the microwave?,False,5,18
2,7,559191829,Is there a plate in the fridge?,True,4,19
2,7,566174883,Please tell me if there is a plate in the fridge?,False,4,19
2,7,168265649,Please tell me if there is a potato in a garbage can?,True,2,17
2,7,645526076,Can you find a potato in a garbage can?,False,2,17
2,7,759941423,I think there is an egg in the fridge. Is that correct?,True,5,19
2,7,8733547,Is there an egg in the fridge?,False,5,19
2,7,146988136,Can you find a fork in a cabinet?,True,3,20
2,7,559035801,Can you find a fork in a cabinet?,False,3,20
2,7,904642374,I think there is an egg in the microwave. Is that correct?,True,5,18
2,7,88393996,Is there an egg in the microwave?,False,5,18
2,7,290817886,Is there a mug in the fridge?,True,13,19
2,7,573023858,I think there is a mug in the fridge. Is that correct?,False,13,19
2,7,668187231,Please tell me if there is a mug in a cabinet?,True,13,20
