question_type,scene_number,seed,question,answer,object_id,container_id
1,21,238282828,There are between 0 and 3 bowls in the room. How many are there?,0,7,21
1,21,588945969,Please tell me how many bowls are around here?,1,7,21
1,21,413558792,How many bowls are there in the room?,2,7,21
1,21,669537989,Count the number of bowls in this room.,3,7,21
1,21,701738674,Please tell me how many tomatoes there are somewhere in the room?,0,6,21
1,21,151200535,There are between 0 and 3 tomatoes in the room. How many are there?,1,6,21
1,21,312872470,How many tomatoes are there in the room?,2,6,21
1,21,568732105,There are between 0 and 3 tomatoes in the room. How many are there?,3,6,21
1,21,364042892,Please tell me how many bowls there are somewhere in the room?,0,7,21
1,21,502954211,There are between 0 and 3 bowls in the room. How many are there?,1,7,21
1,21,600005768,How many bowls are there in the room?,2,7,21
1,21,492894261,Please tell me how many bowls there are somewhere in the room?,3,7,21
1,21,759909914,There are between 0 and 3 apples in the room. How many are there?,0,9,21
1,21,282411798,Count the number of apples in this room.,1,9,21
1,21,94077872,Please tell me how many apples there are somewhere in the room?,2,9,21
1,21,520919345,How many apples are there in the room?,3,9,21
1,21,384671363,Please tell me how many eggs are around here?,0,5,21
1,21,388910017,How many eggs are there in the room?,1,5,21
1,21,514988413,Count the number of eggs in this room.,2,5,21
1,21,889461034,There are between 0 and 3 eggs in the room. How many are there?,3,5,21
1,21,677870635,Count the number of plates in this room.,0,4,21
1,21,254372470,Count the number of plates in this room.,1,4,21
1,21,712629154,There are between 0 and 3 plates in the room. How many are there?,2,4,21
1,21,787719672,There are between 0 and 3 plates in the room. How many are there?,3,4,21
1,21,96257566,There are between 0 and 3 forks in the room. How many are there?,0,3,21
1,21,256582162,Please tell me how many forks there are somewhere in the room?,1,3,21
1,21,982041989,There are between 0 and 3 forks in the room. How many are there?,2,3,21
1,21,652221270,Please tell me how many forks are around here?,3,3,21
1,21,42323201,Count the number of heads of lettuce in this room.,0,8,21
1,21,442988883,How many heads of lettuce are there in the room?,1,8,21
1,21,365213825,Count the number of heads of lettuce in this room.,2,8,21
1,21,143546977,Count the number of heads of lettuce in this room.,3,8,21
1,21,535115750,Please tell me how many heads of lettuce are around here?,0,8,21
1,21,238693680,How many heads of lettuce are there in the room?,1,8,21
1,21,574875142,How many heads of lettuce are there in the room?,2,8,21
1,21,864832388,Please tell me how many heads of lettuce are around here?,3,8,21
1,21,75388866,How many mugs are there in the room?,0,13,21
1,21,122582161,How many mugs are there in the room?,1,13,21
1,21,899825473,Please tell me how many mugs there are somewhere in the room?,2,13,21
1,21,802957983,How many mugs are there in the room?,3,13,21
1,21,874160020,There are between 0 and 3 forks in the room. How many are there?,0,3,21
1,21,779720269,Please tell me how many forks there are somewhere in the room?,1,3,21
1,21,494249714,How many forks are there in the room?,2,3,21
1,21,963374699,Please tell me how many forks there are somewhere in the room?,3,3,21
1,21,659615752,Count the number of mugs in this room.,0,13,21
1,21,490979108,Please tell me how many mugs there are somewhere in the room?,1,13,21
1,21,364901438,There are between 0 and 3 mugs in the room. How many are there?,2,13,21
1,21,459696826,How many mugs are there in the room?,3,13,21
1,21,100351326,Please tell me how many eggs there are somewhere in the room?,0,5,21
1,21,321285654,Please tell me how many eggs there are somewhere in the room?,1,5,21
1,21,171134511,Count the number of eggs in this room.,2,5,21
1,21,155745846,Please tell me how many eggs are around here?,3,5,21
1,21,94099902,Please tell me how many mugs there are somewhere in the room?,0,13,21
1,21,933537257,There are between 0 and 3 mugs in the room. How many are there?,1,13,21
1,21,483099314,There are between 0 and 3 mugs in the room. How many are there?,2,13,21
1,21,723542290,There are between 0 and 3 mugs in the room. How many are there?,3,13,21
1,21,754113252,There are between 0 and 3 heads of lettuce in the room. How many are there?,0,8,21
1,21,913648954,How many heads of lettuce are there in the room?,1,8,21
1,21,577096898,Please tell me how many heads of lettuce there are somewhere in the room?,2,8,21
1,21,422975638,Please tell me how many heads of lettuce there are somewhere in the room?,3,8,21
1,21,553907158,Count the number of tomatoes in this room.,0,6,21
1,21,274725521,How many tomatoes are there in the room?,1,6,21
1,21,18952111,Please tell me how many tomatoes there are somewhere in the room?,2,6,21
1,21,265590288,Count the number of tomatoes in this room.,3,6,21
1,22,276968823,There are between 0 and 3 spoons in the room. How many are there?,0,1,21
1,22,689967726,Please tell me how many spoons are around here?,1,1,21
1,22,368717302,Please tell me how many spoons there are somewhere in the room?,2,1,21
1,22,899055206,There are between 0 and 3 spoons in the room. How many are there?,3,1,21
1,22,809700861,There are between 0 and 3 eggs in the room. How many are there?,0,5,21
1,22,343364420,There are between 0 and 3 eggs in the room. How many are there?,1,5,21
1,22,443393684,Count the number of eggs in this room.,2,5,21
1,22,440287004,Count the number of eggs in this room.,3,5,21
1,22,572020822,How many containers are there in the room?,0,11,21
1,22,817623308,There are between 0 and 3 containers in the room. How many are there?,1,11,21
1,22,731196315,Please tell me how many containers are around here?,2,11,21
1,22,141558764,Please tell me how many containers there are somewhere in the room?,3,11,21
1,22,657209197,How many mugs are there in the room?,0,13,21
1,22,242942678,Please tell me how many mugs there are somewhere in the room?,1,13,21
1,22,694170882,Please tell me how many mugs there are somewhere in the room?,2,13,21
1,22,828483402,Please tell me how many mugs there are somewhere in the room?,3,13,21
1,22,232641595,Please tell me how many plates there are somewhere in the room?,0,4,21
1,22,323750202,Count the number of plates in this room.,1,4,21
1,22,518746311,Count the number of plates in this room.,2,4,21
1,22,672124355,Please tell me how many plates there are somewhere in the room?,3,4,21
1,22,229279495,Count the number of loaves of bread in this room.,0,12,21
1,22,457127162,Please tell me how many loaves of bread are around here?,1,12,21
1,22,960495838,Please tell me how many loaves of bread are around here?,2,12,21
1,22,720817633,Please tell me how many loaves of bread there are somewhere in the room?,3,12,21
1,22,356459012,There are between 0 and 3 heads of lettuce in the room. How many are there?,0,8,21
1,22,617480773,There are between 0 and 3 heads of lettuce in the room. How many are there?,1,8,21
1,22,341587460,Please tell me how many heads of lettuce are around here?,2,8,21
1,22,418849414,Please tell me how many heads of lettuce are around here?,3,8,21
1,22,382353029,There are between 0 and 3 heads of lettuce in the room. How many are there?,0,8,21
1,22,572412059,How many heads of lettuce are there in the room?,1,8,21
1,22,88864296,Count the number of heads of lettuce in this room.,2,8,21
1,22,948390704,Please tell me how many heads of lettuce there are somewhere in the room?,3,8,21
1,22,619406977,Count the number of plates in this room.,0,4,21
1,22,96869381,Please tell me how many plates are around here?,1,4,21
1,22,974541261,Please tell me how many plates there are somewhere in the room?,2,4,21
1,22,138447788,Please tell me how many plates are around here?,3,4,21
1,22,461303102,Please tell me how many mugs are around here?,0,13,21
1,22,72740616,There are between 0 and 3 mugs in the room. How many are there?,1,13,21
1,22,345482293,Count the number of mugs in this room.,2,13,21
1,22,587308536,How many mugs are there in the room?,3,13,21
1,22,613296725,There are between 0 and 3 forks in the room. How many are there?,0,3,21
1,22,733403583,How many forks are there in the room?,1,3,21
1,22,468190569,Please tell me how many forks are around here?,2,3,21
1,22,385338573,Please tell me how many forks there are somewhere in the room?,3,3,21
1,22,545660494,There are between 0 and 3 tomatoes in the room. How many are there?,0,6,21
1,22,2478914,Please tell me how many tomatoes are around here?,1,6,21
1,22,613988091,Please tell me how many tomatoes there are somewhere in the room?,2,6,21
1,22,353233054,There are between 0 and 3 tomatoes in the room. How many are there?,3,6,21
1,22,576153469,How many spoons are there in the room?,0,1,21
1,22,86300748,Please tell me how many spoons there are somewhere in the room?,1,1,21
1,22,668909218,Please tell me how many spoons are around here?,2,1,21
1,22,993629661,How many spoons are there in the room?,3,1,21
1,22,262393500,Please tell me how many forks there are somewhere in the room?,0,3,21
1,22,172311091,There are between 0 and 3 forks in the room. How many are there?,1,3,21
1,22,605124554,How many forks are there in the room?,2,3,21
1,22,321488096,Please tell me how many forks there are somewhere in the room?,3,3,21
1,22,724305941,Please tell me how many containers there are somewhere in the room?,0,11,21
1,22,900226698,Count the number of containers in this room.,1,11,21
1,22,167456492,Please tell me how many containers are around here?,2,11,21
1,22,344925571,Please tell me how many containers are around here?,3,11,21
1,22,515418120,How many potatoes are there in the room?,0,2,21
1,22,957938562,Please tell me how many potatoes there are somewhere in the room?,1,2,21
1,22,4040830,How many potatoes are there in the room?,2,2,21
1,22,721962440,Please tell me how many potatoes are around here?,3,2,21
1,23,386695060,Please tell me how many apples there are somewhere in the room?,0,9,21
1,23,840000190,How many apples are there in the room?,1,9,21
1,23,544241036,Please tell me how many apples are around here?,2,9,21
1,23,812068902,How many apples are there in the room?,3,9,21
1,23,878021070,How many eggs are there in the room?,0,5,21
1,23,136405872,Count the number of eggs in this room.,1,5,21
1,23,607143752,How many eggs are there in the room?,2,5,21
1,23,316983117,There are between 0 and 3 eggs in the room. How many are there?,3,5,21
1,23,290886144,Count the number of mugs in this room.,0,13,21
1,23,58295469,How many mugs are there in the room?,1,13,21
1,23,862605604,Please tell me how many mugs are around here?,2,13,21
1,23,569131069,Please tell me how many mugs are around here?,3,13,21
1,23,315471261,Count the number of bowls in this room.,0,7,21
1,23,120319000,There are between 0 and 3 bowls in the room. How many are there?,1,7,21
1,23,484505746,Please tell me how many bowls are around here?,2,7,21
1,23,134614511,Please tell me how many bowls there are somewhere in the room?,3,7,21
1,23,247594401,Please tell me how many plates there are somewhere in the room?,0,4,21
1,23,118446186,Please tell me how many plates there are somewhere in the room?,1,4,21
1,23,877296319,There are between 0 and 3 plates in the room. How many are there?,2,4,21
1,23,764135601,How many plates are there in the room?,3,4,21
1,23,841434262,Please tell me how many spoons are around here?,0,1,21
1,23,754827566,Count the number of spoons in this room.,1,1,21
1,23,671574791,Please tell me how many spoons there are somewhere in the room?,2,1,21
1,23,933257371,Please tell me how many spoons are around here?,3,1,21
1,23,128252658,How many loaves of bread are there in the room?,0,12,21
1,23,112244225,Please tell me how many loaves of bread there are somewhere in the room?,1,12,21
1,23,58124757,How many loaves of bread are there in the room?,2,12,21
1,23,431040571,How many loaves of bread are there in the room?,3,12,21
1,23,534329823,Please tell me how many eggs there are somewhere in the room?,0,5,21
1,23,411630152,There are between 0 and 3 eggs in the room. How many are there?,1,5,21
1,23,682966070,Please tell me how many eggs are around here?,2,5,21
1,23,978481421,How many eggs are there in the room?,3,5,21
1,23,292366636,Please tell me how many heads of lettuce there are somewhere in the room?,0,8,21
1,23,127943279,Count the number of heads of lettuce in this room.,1,8,21
1,23,772554574,Please tell me how many heads of lettuce there are somewhere in the room?,2,8,21
1,23,810176914,Count the number of heads of lettuce in this room.,3,8,21
1,23,714648157,Please tell me how many containers are around here?,0,11,21
1,23,116367798,There are between 0 and 3 containers in the room. How many are there?,1,11,21
1,23,41378204,Count the number of containers in this room.,2,11,21
1,23,971223710,Count the number of containers in this room.,3,11,21
1,23,886057538,Count the number of heads of lettuce in this room.,0,8,21
